Serial Number:20850765 --

"Date Time, GMT -0400","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2022-06-13 11:06:07,33.50,"2,353", , , , 
2022-06-13 11:08:07,35.30,365, , , , 
2022-06-13 11:10:07,35.86,296, , , , 
2022-06-13 11:12:07,36.16,334, , , , 
2022-06-13 11:14:07,36.21,338, , , , 
2022-06-13 11:16:07,36.29,244, , , , 
2022-06-13 11:18:07,36.29,291, , , , 
2022-06-13 11:20:07,36.21,271, , , , 
2022-06-13 11:22:07,36.16,272, , , , 
2022-06-13 11:24:07,36.16,273, , , , 
2022-06-13 11:26:07,36.08,270, , , , 
2022-06-13 11:28:07,36.12,259, , , , 
2022-06-13 11:30:07,36.03,292, , , , 
2022-06-13 11:32:07,36.03,286, , , , 
2022-06-13 11:34:07,35.95,289, , , , 
2022-06-13 11:36:07,35.90,278, , , , 
2022-06-13 11:38:07,35.90,284, , , , 
2022-06-13 11:40:07,35.86,287, , , , 
2022-06-13 11:42:07,35.86,299, , , , 
2022-06-13 11:44:07,35.78,298, , , , 
2022-06-13 11:46:07,35.73,284, , , , 
2022-06-13 11:48:07,35.73,276, , , , 
2022-06-13 11:50:07,35.73,242, , , , 
2022-06-13 11:52:07,35.69,293, , , , 
2022-06-13 11:54:07,35.65,302, , , , 
2022-06-13 11:56:07,35.69,275, , , , 
2022-06-13 11:58:07,35.60,280, , , , 
2022-06-13 12:00:07,35.56,264, , , , 
2022-06-13 12:02:07,35.56,280, , , , 
2022-06-13 12:04:07,35.56,292, , , , 
2022-06-13 12:06:07,35.52,297, , , , 
2022-06-13 12:08:07,35.48,287, , , , 
2022-06-13 12:10:07,35.48,258, , , , 
2022-06-13 12:12:07,35.48,308, , , , 
2022-06-13 12:14:07,35.43,295, , , , 
2022-06-13 12:16:07,35.39,310, , , , 
2022-06-13 12:18:07,35.39,301, , , , 
2022-06-13 12:20:07,35.35,296, , , , 
2022-06-13 12:22:07,35.30,297, , , , 
2022-06-13 12:24:07,35.26,283, , , , 
2022-06-13 12:26:07,35.26,230, , , , 
2022-06-13 12:28:07,35.26,281, , , , 
2022-06-13 12:30:07,35.22,287, , , , 
2022-06-13 12:32:07,35.18,253, , , , 
2022-06-13 12:34:07,35.18,292, , , , 
2022-06-13 12:36:07,35.09,266, , , , 
2022-06-13 12:38:07,35.13,261, , , , 
2022-06-13 12:40:07,35.05,259, , , , 
2022-06-13 12:42:07,34.96,263, , , , 
2022-06-13 12:44:07,34.96,269, , , , 
2022-06-13 12:46:07,34.92,274, , , , 
2022-06-13 12:48:07,34.88,248, , , , 
2022-06-13 12:50:07,34.83,226, , , , 
2022-06-13 12:52:07,34.88,236, , , , 
2022-06-13 12:54:07,34.88,256, , , , 
2022-06-13 12:56:07,34.88,228, , , , 
2022-06-13 12:58:07,34.83,208, , , , 
2022-06-13 13:00:07,34.70,194, , , , 
2022-06-13 13:02:07,34.66,181, , , , 
2022-06-13 13:04:07,34.62,193, , , , 
2022-06-13 13:06:07,34.53,208, , , , 
2022-06-13 13:08:07,34.53,220, , , , 
2022-06-13 13:10:07,34.53,224, , , , 
2022-06-13 13:12:07,34.45,214, , , , 
2022-06-13 13:14:07,34.40,220, , , , 
2022-06-13 13:16:07,34.40,193, , , , 
2022-06-13 13:18:07,34.40,197, , , , 
2022-06-13 13:20:07,34.32,212, , , , 
2022-06-13 13:22:07,34.32,243, , , , 
2022-06-13 13:24:07,34.27,259, , , , 
2022-06-13 13:26:07,34.32,263, , , , 
2022-06-13 13:28:07,34.23,266, , , , 
2022-06-13 13:30:07,34.19,279, , , , 
2022-06-13 13:32:07,34.15,270, , , , 
2022-06-13 13:34:07,34.10,269, , , , 
2022-06-13 13:36:07,34.15,261, , , , 
2022-06-13 13:38:07,34.10,266, , , , 
2022-06-13 13:40:07,34.06,266, , , , 
2022-06-13 13:42:07,34.06,267, , , , 
2022-06-13 13:44:07,34.10,269, , , , 
2022-06-13 13:46:07,34.10,234, , , , 
2022-06-13 13:48:07,34.06,120, , , , 
2022-06-13 13:50:07,33.97,223, , , , 
2022-06-13 13:52:07,33.97,220, , , , 
2022-06-13 13:54:07,33.93,213, , , , 
2022-06-13 13:56:07,33.93,222, , , , 
2022-06-13 13:58:07,33.97,229, , , , 
2022-06-13 14:00:07,33.85,222, , , , 
2022-06-13 14:02:07,33.89,213, , , , 
2022-06-13 14:04:07,33.85,168, , , , 
2022-06-13 14:06:07,33.80,208, , , , 
2022-06-13 14:08:07,33.80,225, , , , 
2022-06-13 14:10:07,33.72,249, , , , 
2022-06-13 14:12:07,33.72,256, , , , 
2022-06-13 14:14:07,33.76,258, , , , 
2022-06-13 14:16:07,33.76,270, , , , 
2022-06-13 14:18:07,33.72,301, , , , 
2022-06-13 14:20:07,33.63,272, , , , 
2022-06-13 14:22:07,33.67,284, , , , 
2022-06-13 14:24:07,33.67,292, , , , 
2022-06-13 14:26:07,33.67,263, , , , 
2022-06-13 14:28:07,33.63,300, , , , 
2022-06-13 14:30:07,33.63,262, , , , 
2022-06-13 14:32:07,33.59,277, , , , 
2022-06-13 14:34:07,33.63,274, , , , 
2022-06-13 14:36:07,33.59,299, , , , 
2022-06-13 14:38:07,33.59,286, , , , 
2022-06-13 14:40:07,33.55,324, , , , 
2022-06-13 14:42:07,33.55,288, , , , 
2022-06-13 14:44:07,33.55,288, , , , 
2022-06-13 14:46:07,33.50,303, , , , 
2022-06-13 14:48:07,33.55,296, , , , 
2022-06-13 14:50:07,33.46,300, , , , 
2022-06-13 14:52:07,33.46,319, , , , 
2022-06-13 14:54:07,33.46,301, , , , 
2022-06-13 14:56:07,33.46,287, , , , 
2022-06-13 14:58:07,33.46,297, , , , 
2022-06-13 15:00:07,33.46,294, , , , 
2022-06-13 15:02:07,33.42,308, , , , 
2022-06-13 15:04:07,33.46,276, , , , 
2022-06-13 15:06:07,33.42,237, , , , 
2022-06-13 15:08:07,33.42,293, , , , 
2022-06-13 15:10:07,33.42,301, , , , 
2022-06-13 15:12:07,33.46,293, , , , 
2022-06-13 15:14:07,33.42,297, , , , 
2022-06-13 15:16:07,33.42,244, , , , 
2022-06-13 15:18:07,33.42,233, , , , 
2022-06-13 15:20:07,33.33,290, , , , 
2022-06-13 15:22:07,33.37,287, , , , 
2022-06-13 15:24:07,33.29,263, , , , 
2022-06-13 15:26:07,33.29,236, , , , 
2022-06-13 15:28:07,33.29,274, , , , 
2022-06-13 15:30:07,33.29,256, , , , 
2022-06-13 15:32:07,33.29,270, , , , 
2022-06-13 15:34:07,33.29,249, , , , 
2022-06-13 15:36:07,33.29,272, , , , 
2022-06-13 15:38:07,33.25,291, , , , 
2022-06-13 15:40:07,33.25,281, , , , 
2022-06-13 15:42:07,33.25,260, , , , 
2022-06-13 15:44:07,33.20,266, , , , 
2022-06-13 15:46:07,33.20,277, , , , 
2022-06-13 15:48:07,33.16,282, , , , 
2022-06-13 15:50:07,33.12,298, , , , 
2022-06-13 15:52:07,33.12,260, , , , 
2022-06-13 15:54:07,33.16,238, , , , 
2022-06-13 15:56:07,33.12,258, , , , 
2022-06-13 15:58:07,33.12,252, , , , 
2022-06-13 16:00:07,33.07,222, , , , 
2022-06-13 16:02:07,33.03,229, , , , 
2022-06-13 16:04:07,33.03,235, , , , 
2022-06-13 16:06:07,32.99,212, , , , 
2022-06-13 16:08:07,32.90,218, , , , 
2022-06-13 16:10:07,32.90,219, , , , 
2022-06-13 16:12:07,32.77,226, , , , 
2022-06-13 16:14:07,32.64,291, , , , 
2022-06-13 16:16:07,32.60,280, , , , 
2022-06-13 16:18:07,32.52,272, , , , 
2022-06-13 16:20:07,32.47,270, , , , 
2022-06-13 16:22:07,32.39,273, , , , 
2022-06-13 16:24:07,32.34,277, , , , 
2022-06-13 16:26:07,32.34,284, , , , 
2022-06-13 16:28:07,32.22,279, , , , 
2022-06-13 16:30:07,32.17,283, , , , 
2022-06-13 16:32:07,32.09,297, , , , 
2022-06-13 16:34:07,32.04,340, , , , 
2022-06-13 16:36:07,32.04,334, , , , 
2022-06-13 16:38:07,32.00,345, , , , 
2022-06-13 16:40:07,31.92,300, , , , 
2022-06-13 16:42:07,31.87,296, , , , 
2022-06-13 16:44:07,31.70,324, , , , 
2022-06-13 16:46:07,31.70,315, , , , 
2022-06-13 16:48:07,31.70,305, , , , 
2022-06-13 16:50:07,31.66,303, , , , 
2022-06-13 16:52:07,31.66,293, , , , 
2022-06-13 16:54:07,31.61,296, , , , 
2022-06-13 16:56:07,31.66,342, , , , 
2022-06-13 16:58:07,31.66,297, , , , 
2022-06-13 17:00:07,31.66,328, , , , 
2022-06-13 17:02:07,31.66,249, , , , 
2022-06-13 17:04:07,31.70,188, , , , 
2022-06-13 17:06:07,31.66,216, , , , 
2022-06-13 17:08:07,31.66,219, , , , 
2022-06-13 17:10:07,31.66,164, , , , 
