Serial Number:20883462 --

"Date Time, GMT -0400","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2022-06-13 11:03:24,34.02,"4,264", , , , 
2022-06-13 11:05:24,36.25,"7,775", , , , 
2022-06-13 11:07:24,36.51,357, , , , 
2022-06-13 11:09:24,36.59,301, , , , 
2022-06-13 11:11:24,36.55,283, , , , 
2022-06-13 11:13:24,36.51,342, , , , 
2022-06-13 11:15:24,36.46,360, , , , 
2022-06-13 11:17:24,36.51,357, , , , 
2022-06-13 11:19:24,36.46,351, , , , 
2022-06-13 11:21:24,36.42,303, , , , 
2022-06-13 11:23:24,36.42,279, , , , 
2022-06-13 11:25:24,36.29,291, , , , 
2022-06-13 11:27:24,36.25,289, , , , 
2022-06-13 11:29:24,36.16,287, , , , 
2022-06-13 11:31:24,36.21,278, , , , 
2022-06-13 11:33:24,36.21,240, , , , 
2022-06-13 11:35:24,36.12,275, , , , 
2022-06-13 11:37:24,36.12,269, , , , 
2022-06-13 11:39:24,36.08,274, , , , 
2022-06-13 11:41:24,36.03,258, , , , 
2022-06-13 11:43:24,35.99,296, , , , 
2022-06-13 11:45:24,35.99,277, , , , 
2022-06-13 11:47:24,35.95,309, , , , 
2022-06-13 11:49:24,35.90,310, , , , 
2022-06-13 11:51:24,35.90,290, , , , 
2022-06-13 11:53:24,35.86,298, , , , 
2022-06-13 11:55:24,35.82,307, , , , 
2022-06-13 11:57:24,35.82,306, , , , 
2022-06-13 11:59:24,35.78,301, , , , 
2022-06-13 12:01:24,35.73,298, , , , 
2022-06-13 12:03:24,35.73,291, , , , 
2022-06-13 12:05:24,35.69,274, , , , 
2022-06-13 12:07:24,35.69,280, , , , 
2022-06-13 12:09:24,35.65,289, , , , 
2022-06-13 12:11:24,35.65,282, , , , 
2022-06-13 12:13:24,35.60,285, , , , 
2022-06-13 12:15:24,35.56,297, , , , 
2022-06-13 12:17:24,35.52,258, , , , 
2022-06-13 12:19:24,35.52,298, , , , 
2022-06-13 12:21:24,35.52,289, , , , 
2022-06-13 12:23:24,35.48,303, , , , 
2022-06-13 12:25:24,35.48,296, , , , 
2022-06-13 12:27:24,35.39,289, , , , 
2022-06-13 12:29:24,35.43,307, , , , 
2022-06-13 12:31:24,35.39,294, , , , 
2022-06-13 12:33:24,35.39,293, , , , 
2022-06-13 12:35:24,35.30,281, , , , 
2022-06-13 12:37:24,35.26,306, , , , 
2022-06-13 12:39:24,35.22,271, , , , 
2022-06-13 12:41:24,35.26,306, , , , 
2022-06-13 12:43:24,35.18,245, , , , 
2022-06-13 12:45:24,35.13,230, , , , 
2022-06-13 12:47:24,35.09,233, , , , 
2022-06-13 12:49:24,35.00,232, , , , 
2022-06-13 12:51:24,35.05,229, , , , 
2022-06-13 12:53:24,35.05,210, , , , 
2022-06-13 12:55:24,35.05,214, , , , 
2022-06-13 12:57:24,34.96,210, , , , 
2022-06-13 12:59:24,34.88,188, , , , 
2022-06-13 13:01:24,34.88,235, , , , 
2022-06-13 13:03:24,34.79,213, , , , 
2022-06-13 13:05:24,34.75,186, , , , 
2022-06-13 13:07:24,34.70,224, , , , 
2022-06-13 13:09:24,34.62,225, , , , 
2022-06-13 13:11:24,34.57,212, , , , 
2022-06-13 13:13:24,34.57,208, , , , 
2022-06-13 13:15:24,34.53,180, , , , 
